# Order
title,price,discprice,discount,fprice

# less then 2$
Warlock 2: The Exiled, 21.99, 5.49, 75%, 5.49
Woah Dave!, 5.49,0, 0%, 5.49
Borderlands 2, 21.99, 5.50, 74%, 5.50
Iron Sky Invasion: Ultimate Edition, 35.06, 5.58, 84%, 5.58
Castle Story, 27.99, 5.59, 80%, 5.59
SEUM: Speedrunners from Hell, 16.99, 5.60, 67%, 5.60
Bloody Rally Show, 22.79, 5.69, 75%, 5.69
duamo, 5.69,0, 0%, 5.69
Holobunnies: Pause Cafe, 5.69,0, 0%, 5.69
Pyre, 22.79, 5.69, 75%, 5.69
Sophie's Dice, 5.69,0, 0%, 5.69
Streets of Rogue, 22.79, 5.69, 75%, 5.69
Sundered®: Eldritch Edition, 22.79, 5.69, 75%, 5.69
We. The Revolution, 22.79, 5.69, 75%, 5.69
Hatoful Boyfriend Complete Pack, 35.77, 5.70, 84%, 5.70
SpeedRunners Deluxe Pack, 26.96, 5.71, 78%, 5.71
Skirmish Line, 11.49, 5.74, 50%, 5.74
SpaceChem, 11.49, 5.74, 50%, 5.74
Tales From Off-Peak City Vol. 1, 11.49, 5.74, 50%, 5.74
Golf With Your Friends, 17.49, 5.77, 67%, 5.77
Forgotten Fields, 14.49, 5.79, 60%, 5.79
Objects in Space, 28.99, 5.79, 80%, 5.79
Beholder 2 FT Orwel 2 bundle, 28.48, 5.80, 79%, 5.80
Higurashi When They Cry Hou - Ch.8 Matsuribayashi, 8.99, 5.84, 35%, 5.84
Siralim 2, 19.49, 5.84, 70%, 5.84
The Talos Principle, 38.99, 5.84, 85%, 5.84
Frederic: Evil Strikes Back, 8.79, 5.88, 33%, 5.88
Mosaic 1% Edition, 31.77, 5.90, 81%, 5.90
Epistory - Typing Chronicles, 16.99, 5.94, 65%, 5.94
ENCODYA, 29.99, 5.99, 80%, 5.99
Motorsport Manager, 29.99, 5.99, 80%, 5.99
No one lives under the lighthouse Director's cut, 7.99, 5.99, 25%, 5.99
Trine 3: The Artifacts of Power, 23.99, 5.99, 75%, 5.99

# less then 7$
Lazy Galaxy 2, 8.99, 6.02, 33%, 6.02
Party Hard Collector's Edition, 21.47, 6.10, 71%, 6.10
All You Can Drill, 16.68, 6.16, 63%, 6.16
Jester / King, 15.49, 6.19, 60%, 6.19
American Truck Simulator, 24.99, 6.24, 75%, 6.24
Faeria, 24.99, 6.24, 75%, 6.24
Secret Agent HD, 8.99, 6.29, 30%, 6.29
VEREDA - Mystery Escape Room Adventure, 8.99, 6.29, 30%, 6.29
Jotun Game + Soundtrack, 28.48, 6.40, 77%, 6.40
Loop Hero, 19.49, 6.43, 67%, 6.43
Rencounter, 6.49,0, 0%, 6.49
Tales From Off-Peak City Vol. 1 + Soundtrack, 19.48, 6.52, 66%, 6.52
Road Redemption, 21.99, 6.59, 70%, 6.59
Shotgun Farmers: Grow Your Guns, 10.99, 6.59, 40%, 6.59
